Reviewer_Name,Review_Body,Review_Date,Rating,Country,Helpful_Tag,Travel Category,Require_Translate,City,Attraction_Rank,Is_Commented,Sentiment_Score,Year_Month
JORGE,There are no comments available for this review,2023-01-24,4,Portugal,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
TAYU,"The scenery is beautiful and worth a visit, but there are so many tourists that you have to queue up to take photos.",2023-01-24,5,,Helpful,,True,Barcelona,top2,True,0.4404,2023-01
TAYU,"The scenery is beautiful and worth a visit, but there are so many tourists that you have to queue up to take photos.",2023-01-24,5,,Helpful,,True,Barcelona,top2,True,0.4404,2023-01
Tornatore,There are no comments available for this review,2023-01-25,5,Italy,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Anonymous,A beautiful place that you must see when in Barcelona,2023-01-25,5,,Helpful,,True,Barcelona,top1,True,0.5994,2023-01
geraldine,The no. 1 thing to visit in Barcelona,2023-01-25,5,Ireland,Helpful,,False,Barcelona,top1,True,0.0,2023-01
Antzorn,There are no comments available for this review,2023-01-26,5,Belgium,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Véronique,Very nice and helpful staff. We took audio visit and it was great.,2023-01-27,5,France,Helpful,,False,Barcelona,top1,True,0.8822,2023-01
DOLORES,"When first seeing Sagrada Familia from the outside the sensation is amazing. The same applies when getting inside as well. We visited in January when it is not considered as high season so there is no need to pay for skip the line tickets. We bought tickets like this and there was no queue to skip!! No need to spend your money on that, keep it for souvenirs",2023-01-27,5,Greece,Helpful,,True,Barcelona,top1,True,0.4059,2023-01
Alain,There are no comments available for this review,2023-01-27,4,France,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Sue,"I was unlucky that I can’t get taxi this day because taxi drivers on strike. I had hard time to take Metro due to language barrier. When I got there, I was late and were told yo buy another ticket. I bought a new ticket for €50 and tried to get refund from the original one but was denied. It was disappointed.",2023-01-27,2,Spain,Helpful,,False,Barcelona,top1,True,-0.8422,2023-01
Miloš,There are no comments available for this review,2023-01-28,5,Serbia,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
PI CHENG,"Although the environment of Park Guell is a little desolate, you can climb up to see the distance and experience Gaudi's planning and design of the villa community. Shooting in the morning is easily affected by backlighting, but with fewer tourists it is easier to take pictures. It depends on everyone weighing the pros and cons.",2023-01-28,4,,Helpful,,True,Barcelona,top2,True,0.6249,2023-01
PI CHENG,"Although the environment of Park Guell is a little desolate, you can climb up to see the distance and experience Gaudi's planning and design of the villa community. Shooting in the morning is easily affected by backlighting, but with fewer tourists it is easier to take pictures. It depends on everyone weighing the pros and cons.",2023-01-28,4,,Helpful,,True,Barcelona,top2,True,0.6249,2023-01
pierre-yves,There are no comments available for this review,2023-01-29,4,France,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Paola,There are no comments available for this review,2023-01-29,5,,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
dujjathep,"It’s actually nice if there were no Korean groups coming in all at once. I know it is hard to control, so one way to make the best of this is tonreach there before the time, early morning.",2023-01-29,5,,Helpful,,False,Barcelona,top2,True,0.6597,2023-01
dujjathep,"It’s actually nice if there were no Korean groups coming in all at once. I know it is hard to control, so one way to make the best of this is tonreach there before the time, early morning.",2023-01-29,5,,Helpful,,False,Barcelona,top2,True,0.6597,2023-01
Vejvodová,Great experience😊,2023-01-30,5,Czech Republic,Helpful,,True,Barcelona,top1,True,0.8779,2023-01
Olga,There are no comments available for this review,2023-01-30,5,Spain,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Gilles,Easy to find but no access to an audio guide. You have to download the Sagrada Familia application except that I don't have internet abroad. Free wifi is available but it's impossible to download too many people and when we can finally download the whole questionnaire is in Spanish so we can't answer 😩😩😩😩,2023-01-31,3,France,Helpful,,True,Barcelona,top1,True,-0.2799,2023-01
CONSTANTINA,There are no comments available for this review,2023-01-31,4,Spain,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Pik Ki Emily,Buying tickets on Klook is very convenient. No need to queue on site. It saves time and is easy to use.,2023-01-31,5,,Helpful,,True,Barcelona,top2,True,0.1082,2023-01
Pik Ki Emily,Buying tickets on Klook is very convenient. No need to queue on site. It saves time and is easy to use.,2023-01-31,5,,Helpful,,True,Barcelona,top2,True,0.1082,2023-01
Anonymous,There are no comments available for this review,2023-02-01,4,,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Kent Fei Hoong,beatifully designed park by antoni gaudi. a must see if you are in bacelona,2023-02-02,5,,Helpful,,False,Barcelona,top2,True,0.0,2023-02
CHIENHUI,"The amazing masterpiece of Gaudi, the architect of God, is indeed a worthwhile trip. I really want to stay longer, but time is limited. I hope I can have the opportunity to make a pilgrimage again next time.",2023-02-02,5,,Helpful,,True,Barcelona,top2,True,0.9135,2023-02
Leahu,There are no comments available for this review,2023-02-03,5,Moldova,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Anonymous,There are no comments available for this review,2023-02-03,5,,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Begoña Vanessa,"An impressive work not only of modernist architecture but of the history of architecture, different from any other, the way of solving structural problems is unique, where everything is daring, different, innovative, wonderful…. a delight",2023-02-03,4,Spain,Helpful,,True,Barcelona,top1,True,0.9343,2023-02
PH,"Buy it on Klook and you can use it immediately the next day, which is very convenient and cheaper than on site!",2023-02-03,5,,Helpful,,True,Barcelona,top2,True,0.0,2023-02
Anonymous,There are no comments available for this review,2023-02-04,5,,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Russell Adam,There are no comments available for this review,2023-02-04,4,United Kingdom,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
csaba tamas,There are no comments available for this review,2023-02-04,5,Hungary,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
YUTANG,"Although there are a lot of people, it is a place worth spending time to walk around.",2023-02-04,4,,Helpful,,True,Barcelona,top2,True,0.2263,2023-02
Robin,Really great experience to visit Sharad a familia. Truly a masterpiece of architecture and beauty.,2023-02-05,5,United Arab Emirates,Helpful,,False,Barcelona,top1,True,0.945,2023-02
Robert,There are no comments available for this review,2023-02-06,5,France,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Galina,There are no comments available for this review,2023-02-06,5,Bulgaria,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Rózsa,There are no comments available for this review,2023-02-06,5,Hungary,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Valérie,There are no comments available for this review,2023-02-07,5,Belgium,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Wayne,There are no comments available for this review,2023-02-08,5,Spain,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Anna,There are no comments available for this review,2023-02-08,5,Poland,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Elliot,Beautiful Park. And there's quite a bit of Gaudi to see there too.,2023-02-08,5,,Helpful,,False,Barcelona,top2,True,0.5994,2023-02
Ana Catarina,There are no comments available for this review,2023-02-09,4,Portugal,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
tung,It is very convenient to buy tickets. There are several entrances to the park. The network is average. I was unable to connect to the network to see the map when I left. It is recommended to download the admission ticket and related information in advance.,2023-02-09,5,,Helpful,,True,Barcelona,top2,True,0.2023,2023-02
Sławomir,"Great experiences and a tribute to the builders for the progress, organization and quality of work. Great appreciation for Gaudi's genius - it is visible in the details and lighting effects. The last time we visited the cathedral was several years ago and we were shocked by the impact of the enormous amount of work done. We look forward to their completion. We highly recommend sightseeing, especially the individual version with an audio guide.",2023-02-10,5,Poland,Helpful,,True,Barcelona,top1,True,0.9412,2023-02
PIERO,There are no comments available for this review,2023-02-10,5,Italy,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Alvise,There are no comments available for this review,2023-02-11,5,Italy,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Gert,There are no comments available for this review,2023-02-12,5,Spain,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Veerle,The visit was well arranged with the entrance tickets from Booking.com,2023-02-12,5,Belgium,Helpful,,True,Barcelona,top1,True,0.2732,2023-02
Anonymous,There are no comments available for this review,2023-02-12,5,,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Karin,Entry with a ticket presented was uncomplicated and went very quickly,2023-02-12,5,Germany,Helpful,,True,Barcelona,top1,True,0.0,2023-02
Gabriela,There are no comments available for this review,2023-02-13,5,Romania,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Isabella,There are no comments available for this review,2023-02-13,5,Italy,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Thomas,"A very mind-blowing experience. Gaudi's creation was full of contrasts, e.g. The outer shell is grotesque and the inside is eye-poppingly smooth.",2023-02-14,5,Finland,Helpful,,True,Barcelona,top1,True,0.2732,2023-02
Anonymous,The visit went very well the staff were excellent Very easy to book the tour But the star of the show is the building how they achieved that is fantastic but we’re lead by who must have been a very forward thinking gentleman,2023-02-14,5,,Helpful,,False,Barcelona,top1,True,0.8763,2023-02
Bituh,There are no comments available for this review,2023-02-14,5,Croatia,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Carmen,This place is a must visit. Audio guide was great. You could listen to everything several times.,2023-02-15,5,Germany,Helpful,,True,Barcelona,top1,True,0.6249,2023-02
Portugal Farfán,"I have tried to contact Booking and they have not given me a solution. DO NOT BUY THESE TICKETS ON BOOKING, THEY DO NOT RECOGNIZE THEM AT THE TIME OF ENTRY INTO THE SAGRADA FAMILIA. I have already been requesting my refund for more than three emails and they have not given me any type of solution so far. There is no telephone number I can call to make a claim. In the end I bought for the second time from the official website of La Sagrada Familia.",2023-02-15,1,,Helpful,,True,Barcelona,top1,True,0.291,2023-02
Anonymous,It was overpriced for what it is. A bit underwhelming.,2023-02-15,3,,Helpful,,False,Barcelona,top1,True,0.0,2023-02
christelle,Gorgeous !!!!,2023-02-15,5,France,Helpful,,True,Barcelona,top1,True,0.7326,2023-02
MOONSOO,Never miss Guel park reservation with Klook.,2023-02-15,5,,Helpful,,False,Barcelona,top2,True,0.1139,2023-02
Yee Ting,"It’s fast and convenient, no need to go to the designated counter to redeem. No printing required, just show the QR code",2023-02-15,5,,Helpful,,True,Barcelona,top2,True,-0.5267,2023-02
Anonymous,There are no comments available for this review,2023-02-16,5,,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Véronique,There are no comments available for this review,2023-02-16,4,France,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Louise,"Amazing experience, thoroughly recommend. Take your headphones though as the audio is downloaded to your mobile.",2023-02-16,5,United Kingdom,Helpful,,False,Barcelona,top1,True,0.7645,2023-02
Anonymous,There are no comments available for this review,2023-02-16,5,,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Marco,"If you are in Barcelona, ​​you cannot miss a mystical and magical experience.",2023-02-17,5,Italy,Helpful,,True,Barcelona,top1,True,0.1139,2023-02
Adolfo,all perfect,2023-02-18,5,Argentina,Helpful,,True,Barcelona,top1,True,0.5719,2023-02
Daniil,There are no comments available for this review,2023-02-18,5,France,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Svetlana,There are no comments available for this review,2023-02-18,5,Estonia,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
DANIELA,Please be advised to bring your own headphones to listen to the audio guide from your mobile phone,2023-02-19,5,Italy,Helpful,,True,Barcelona,top1,True,0.3182,2023-02
Barbara,There are no comments available for this review,2023-02-19,5,Serbia,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Carlos,Lovely,2023-02-19,5,Spain,Helpful,,True,Barcelona,top1,True,0.5859,2023-02
Anonymous,There are no comments available for this review,2023-02-19,4,,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Paul N.,"Carísimo, pero así, supongo que los Católicos now tendrán que esperar otros 140 años para que termine su obra...",2023-02-20,3,Spain,Helpful,,False,Barcelona,top1,True,0.0,2023-02
Jean-Philippe,There are no comments available for this review,2023-02-20,5,Switzerland,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Marc,There are no comments available for this review,2023-02-20,5,France,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Luis,"Everything is very good, in addition to the friendliness of the staff, Gaudí's phenomenal beauty is something out of the ordinary.",2023-02-21,5,Portugal,Helpful,,True,Barcelona,top1,True,0.8748,2023-02
ORESTE,There are no comments available for this review,2023-02-21,4,Italy,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Vera,"You have to download the audio guide to your smartphone yourself. Since I was also buying a ticket for my daughter, we only had a guide in one mobile phone. You have nothing without a smart phone. I'm surprised you don't get to the top by default. It was like that about 10 years ago. Otherwise, of course, it's a magnificent piece of work. My daughter and I didn't have time to go through the museum, it closes very early, at 6 p.m.",2023-02-21,5,Czech Republic,Helpful,,True,Barcelona,top1,True,0.8759,2023-02
Anonymous,"I thought they would give us an audio guide and that wasn't the case, we had to download the official app and the information was a bit confusing.",2023-02-21,3,,Helpful,,True,Barcelona,top1,True,-0.2263,2023-02
Madhan,There are no comments available for this review,2023-02-21,4,Spain,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
patrick,"you have to see it, it's a pure marvel, the audio guide was very complicated and requires preparation, moreover, the tickets must be issued before security does not accept photos, it was a hassle, they made no effort, we saw each other losing our 6 tickets the booking numbers are useless only the paper edition or the qr code counts",2023-02-22,5,France,Helpful,,True,Barcelona,top1,True,-0.555,2023-02
JESÚS,The building is very impressive and the visit is interesting.,2023-02-22,4,Spain,Helpful,,True,Barcelona,top1,True,0.7425,2023-02
Reis,Everything very organized. Right at the entrance they helped me download the audio guide - wonderful experience,2023-02-22,5,Brazil,Helpful,,True,Barcelona,top1,True,0.5719,2023-02
Christine,There are no comments available for this review,2023-02-22,3,Belgium,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Giuseppe,"imposing, majestic on the outside. hypnotic, mystical and at the same time modern inside. I'm not a fan of Gaudi, but this is one of the pinnacles of architectural history.",2023-02-22,5,Italy,Helpful,,True,Barcelona,top1,True,-0.1732,2023-02
Sébastien,There are no comments available for this review,2023-02-22,5,Switzerland,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Anonymous,There are no comments available for this review,2023-02-22,5,,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Aldo,There are no comments available for this review,2023-02-23,5,Italy,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Anonymous,There are no comments available for this review,2023-02-23,4,,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Anonymous,"Bright, colorful interior. Allow enough time to explore the museum which helps to understand the sources of Gaudí's techniques! Magnificent visit.",2023-02-23,5,,Helpful,,True,Barcelona,top1,True,0.8908,2023-02
Kitti,"You are a miracle! It is very worthwhile to book the ticket together with the guide material in advance. Tickets for that day were also sold out on the spot. The guide material was great, it added a lot of new ideas to get to know and understand this architectural masterpiece. 💗",2023-02-23,5,Hungary,Helpful,,True,Barcelona,top1,True,0.9678,2023-02
Felipe,There are no comments available for this review,2023-02-23,5,Spain,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Anonymous,"Wonderful experience, I recommend to anyone visiting Barcelona.",2023-02-24,5,,Helpful,,True,Barcelona,top1,True,0.7351,2023-02
Sharon,Helpful staff and easy to use e ticket,2023-02-24,4,United Kingdom,Helpful,,False,Barcelona,top1,True,0.6908,2023-02
Frédéric,A unique building in the world.,2023-02-24,5,Belgium,Helpful,,True,Barcelona,top1,True,0.0,2023-02
Anonymous,There are no comments available for this review,2023-02-25,4,,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
André,"You must be equipped with a personal helmet or air pad for this to be comfortable. The Sagrada application can be downloaded via the visit ticket, this will make it easier to get started. There are a lot of people so don't do this visit if you are in a hurry.",2023-02-25,4,,Helpful,,True,Barcelona,top1,True,0.7269,2023-02
Daniela,There are no comments available for this review,2023-02-25,4,Romania,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Philippe,There are no comments available for this review,2023-02-25,5,Spain,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
Anne-Claire,There are no comments available for this review,2023-02-25,3,France,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
BELLIERO,It's really worth it!,2023-02-26,5,,Helpful,,True,Barcelona,top1,True,0.358,2023-02
Riona,There are no comments available for this review,2023-02-26,5,Ireland,,,False,Barcelona,top1,False,0.5069174783641891,2023-02
yong sig,"I was able to get in quickly without waiting.
I was sucked into a fantastic work of art.
It was touching to go in.",2023-02-26,5,,Helpful,,True,Barcelona,top2,True,0.1531,2023-02
Vera,Must see in Barcelona. More than worth the money!,2023-02-27,5,Belgium,Helpful,,True,Barcelona,top1,True,0.3549,2023-02
